基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託
野村愛爾蘭-日本策略價值,前收累積,美元,00910008,6403,2R08,3R04,X,7306,●,X,X,06F,●,1907,NI012,●
野村愛爾蘭-日本策略價值,前收累積,美元避險,00910009,6404,2R10,3R05,X,7307,●,X,X,06G,●,1908,NI013,05300009
野村愛爾蘭-日本策略價值,前收累積,日圓,00910007,6402,2R09,3R06,X,7305,●,X,X,06E,●,1906,NI011,05300008
野村愛爾蘭-日本策略價值,後收累積,日圓,0091B005,6608,5R09,●,X,●,●,X,X,●,●,7413,●,05300028
野村愛爾蘭-日本策略價值,後收累積,美元避險,0091B004,6602,5R10,●,X,●,●,X,X,06D,●,7403,NQ04,05300010
野村愛爾蘭-全球非投資等級債券,前收累積,美元,●,●,X,●,X,●,●,X,X,●,●,X,NI002,●
野村愛爾蘭-全球非投資等級債券,前收月配,美元,●,●,X,●,X,●,●,X,X,●,●,X,NI003,●
野村愛爾蘭-全球非投資等級債券,前收月配,澳幣避險,●,●,X,●,X,●,●,X,X,●,●,X,NI004,●
野村愛爾蘭-全球非投資等級債券,後收月配,美元,●,●,X,●,X,●,●,X,X,●,●,X,NQ002,●
野村愛爾蘭-印度領先股票,前收累積,美元,●,6406,X,●,X,●,●,X,X,06H,●,1909,NI010,05300011
野村愛爾蘭-美國非投資等級債券,前收累積,美元,●,●,2R03,●,X,7302,●,X,X,86C,1B09,1901,NI005,05300001
野村愛爾蘭-美國非投資等級債券,前收累積,澳幣避險,●,●,2R05,3R02,X,●,●,X,X,86D,1B10,1902,NI006,05300003
野村愛爾蘭-美國非投資等級債券,前收月配,美元,00910004,6401,2R04,3R01,X,7301,00440001,X,X,86E,1B02,1903,NI001,05300002
野村愛爾蘭-美國非投資等級債券,前收月配,日圓,●,●,2R16,●,X,●,●,X,X,23C,●,1915,NI023,●
野村愛爾蘭-美國非投資等級債券,前收月配,日圓避險,●,●,2R17,●,X,●,●,X,X,23D,●,1916,●,●
野村愛爾蘭-美國非投資等級債券,前收月配,澳幣,00910003,●,2R06,●,X,●,●,X,X,●,1B01,1904,●,●
野村愛爾蘭-美國非投資等級債券,前收月配,澳幣避險,00910005,6405,2R07,3R03,X,●,●,X,X,86F,1B03,1905,NI007,05300004
野村愛爾蘭-美國非投資等級債券,前收月配,南非幣避險,●,●,2R12,●,X,●,●,X,X,●,1B11,●,NI017,05300005
野村愛爾蘭-美國非投資等級債券,後收累積,美元,●,●,5R03,●,X,●,●,X,X,●,1BB6,7407,NQ012,05300006
野村愛爾蘭-美國非投資等級債券,後收月配,美元,0091B002,6601,5R04,●,X,●,●,X,X,◎85Z,1BB1,7401,NQ001,05300007
野村愛爾蘭-美國非投資等級債券,後收月配,日圓,●,●,5R13,●,X,●,●,X,X,23H,●,7409,NQ013,●
野村愛爾蘭-美國非投資等級債券,後收月配,日圓避險,●,●,5R14,●,X,●,●,X,X,23I,●,7410,●,●
野村愛爾蘭-全球多元收益債券,前收累積,美元,00910001,6408,2R01,●,X,7303,●,X,X,03A,1B06,1910,NI008,05300012
野村愛爾蘭-全球多元收益債券,前收月配,美元,00910002,6409,2R02,●,X,7304,●,X,X,03B,1B07,1911,NI009,05300013
野村愛爾蘭-全球多元收益債券,前收月配,日圓,00910012,6410,2R14,●,X,●,●,X,X,23J,●,1917,NI022,●
野村愛爾蘭-全球多元收益債券,前收月配,日圓避險,00910011,6411,2R15,●,X,●,●,X,X,23K,●,1918,●,05300029
野村愛爾蘭-全球多元收益債券,前收月配,南非幣避險,00910010,X,2R11,●,X,●,●,X,X,●,1B08,●,NI018,05300014
野村愛爾蘭-全球多元收益債券,後收累積,美元,0091B008,6604,5R01,●,X,●,●,X,X,●,1BB4,7408,NQ010,05300015
野村愛爾蘭-全球多元收益債券,後收月配,美元,0091B001,6605,5R02,●,X,●,●,X,X,◎03C,1BB5,7402,NQ003,05300016
野村愛爾蘭-全球多元收益債券,後收月配,日圓,0091B006,6606,5R11,●,X,●,●,X,X,23L,●,7411,NQ011,●
野村愛爾蘭-全球多元收益債券,後收月配,日圓避險,0091B007,6607,5R12,●,X,●,●,X,X,23M,●,7411,●,05300030
野村愛爾蘭-全球精選核心股票,前收累積,美元,●,X,X,●,X,●,●,X,X,●,1B05,1913,NI015,05300019
野村愛爾蘭-全球精選核心股票,後收累積,美元,●,X,X,●,X,●,●,X,X,●,1BB3,7405,NQ006,05300020
野村愛爾蘭-日本精選股票,前收累積,美元,●,X,X,●,X,●,●,X,X,●,●,1914,NI014,05300017
野村愛爾蘭-日本精選股票,後收累積,美元,●,X,X,●,X,●,●,X,X,●,●,7406,NQ005,05300018
野村愛爾蘭-AC聚焦成長轉機股票,前收累積,美元,00910006,6407,X,X,X,X,●,X,X,05T,1B04,1912,NI016,05300021
野村愛爾蘭-AC聚焦成長轉機股票,後收累積,美元,0091B003,6603,X,X,X,X,●,X,X,05U,1BB2,7404,NQ007,05300022
野村愛爾蘭-AC全球小型股票,前收累積,美元,●,X,●,●,X,●,●,X,X,●,●,●,NI019,05300026
野村愛爾蘭-AC全球小型股票,後收累積,美元,●,X,●,●,X,●,●,X,X,●,●,●,NQ08,05300027
野村愛爾蘭-亞洲(日本除外)精選核心股票,前收累積,美元,●,●,●,X,X,●,X,X,X,●,X,●,●,●
野村愛爾蘭-亞洲(日本除外)精選核心股票,後收累積,美元,●,●,●,X,X,●,X,X,X,●,X,●,●,●
