基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託
野村優質基金,前收累積,新臺幣,10370001,CA01,7001,5801,10110001,2413,10040001,V,V,CJ1,5501,IN01,02001,55500030
野村優質基金,TISA,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村優質基金,後收累積,新臺幣,,,,,,,,,,,,,,
野村成長基金,前收累積,新臺幣,10370002,CA02,7002,5802,10110002,2424,10040002,V,●,CJ2,5502,IN03,02031,●
野村平衡基金,前收累積,新臺幣,10370003,CA03,7003,5804,●,2425,●,V,●,CJ3,◎5505,◎IN09,●,●
野村平衡基金,TISA,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村ｅ科技基金,前收累積,新臺幣,10370004,CA04,7004,5803,10110004,2407,10040004,V,V,CJ4,5503,IN07,02002,●
野村中小基金,前收累積,新臺幣,10370006,CA06,7005,5806,10110006,2411,10040006,V,V,CJ5,5504,IN05,02003,55500020
野村全球品牌基金,前收累積,新臺幣,10370007,CA07,7006,5807,10110007,2402,10040007,V,●,CJ8,5550,IN20,02004,55500034
野村全球品牌基金,前收累積,美元,10370084,C144,●,●,●,●,●,●,●,●,●,●,●,●
野村全球品牌基金,後收累積,新臺幣,●,CB09,●,●,●,●,●,●,●,●,●,I713,53001,●
野村全球品牌基金,後收累積,美元,●,C210,●,●,●,●,●,●,●,●,●,J716,53002,●
野村全球高股息基金,前收累積,新臺幣,10370008,CA08,7007,5809,10110009,2403,10040009,V,●,CJ9,5551,IN15,02005,55500021
野村全球高股息基金,前收累積,人民幣,10370058,●,●,●,●,●,10040061,●,●,351,4119,◎D215,●,●
野村全球高股息基金,前收季配,新臺幣,10370057,CA23,7018,●,●,●,●,V,●,K25,5560,◎IN50,●,●
野村全球高股息基金,前收季配,人民幣,10370059,●,●,●,●,●,●,●,●,352,4120,◎D216,●,●
野村鑫平衡組合基金,前收累積,新臺幣,10370010,CA10,7008,5811,10110011,2401,10040011,V,●,CK0,5553,◎IN11,02021,55500023
野村全球不動產證券化基金,前收累積,新臺幣,10370016,CA13,7010,5814,10110014,2408,10040014,V,●,CK3,5555,◎IN21,02023,●
野村全球不動產證券化基金,前收累積,人民幣,10370060,●,●,●,●,●,10040062,●,●,353,4117,◎D217,●,●
野村全球不動產證券化基金,前收月配,新臺幣,◎10370036,CA25,7017,●,10110042,●,10040046,V,●,K27,◎5562,◎IN51,●,●
野村全球不動產證券化基金,前收月配,人民幣,10370061,●,●,●,●,●,●,●,●,354,4118,◎D218,●,●
野村亞太高股息基金,前收累積,新臺幣,10370015,CA16,7015,5817,10110017,2412,10040017,V,●,CK6,5558,IN17,02006,55500025
野村亞太高股息基金  (暫停銷售),前收累積,人民幣,●,●,●,●,●,●,●,●,●,●,●,●,●,●
野村亞太高股息基金,前收季配,新臺幣,10370021,CA26,7020,●,●,2417,●,V,●,K28,◎5563,●,●,●
野村亞太高股息基金  (暫停銷售),前收季配,人民幣,●,●,●,●,●,●,●,●,●,●,●,●,●,●
野村台灣運籌基金,前收累積,新臺幣,10040004,CA19,4908,5212,10110021,3113,10040019,V,●,K19,5701,◎IN02,●,55500004
野村鴻運基金,前收累積,新臺幣,●,CA33,●,●,X,3112,●,V,●,K23,5710,◎IN06,02032,●
野村環球基金,前收累積,新臺幣,10370043,CA34,4911,5859,10110022,3104,10040053,V,V,K20,5754,IN19,02007,55500007
野村環球基金,前收累積,美元,◎10370070,C143,7I14,5860,●,●,●,●,●,●,●,D229,●,65500038
野村環球基金,前收累積,人民幣,10370066,C120,7I07,5861,●,5534,●,●,●,398,4121,D230,●,65500039
野村鴻利基金,前收累積,新臺幣,10370026,◎KH14,4914,●,10110023,●,●,V,●,K21,5707,◎IN10,●,55500005
野村積極成長基金,前收累積,新臺幣,●,CA20,4903,●,10110024,3111,●,V,●,K22,5703,IN04,●,55500006
野村貨幣市場基金,前收累積,新臺幣,◎10370022,◎KH08,49A1,5201,10110031,3102,●,V,●,K01,◎5771,◎IN35,02008,●
野村泰國基金,前收累積,新臺幣,10040006,KH03,4901,5207,10110027,3105,10040026,V,●,K06,5752,IN25,02009,55500003
野村高科技基金,前收累積,新臺幣,10040013,KH06,4909,5208,10110028,3110,10040020,V,V,K09,5704,IN08,02010,55500012
野村高科技基金,後收累積,新臺幣,,,,,,,,,,,,,,
野村台灣高股息基金,前收累積,新臺幣,10040016,CA18,4907,5211,10110039,3103,10040022,V,●,K18,5709,IN18,02030,55500019
野村台灣高股息基金 (暫不上架),前收月配,新臺幣,●,●,●,●,●,●,●,V,●,●,●,●,●,●
野村台灣高股息基金,TISA,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村全球生技醫療基金,前收累積,新臺幣,10370017,CA17,7016,5818,10110018,2414,10040018,V,●,145,5559,IN26,02011,55500018
野村大俄羅斯基金,前收累積,新臺幣,10370024,CA28,7025,5822,X,2420,10040033,X,X,K33,5757,◎IN30,02012,55500027
野村中國機會基金,前收累積,新臺幣,10370027,CA35,7027,5824,10110041,2423,10040035,V,●,K35,5567,IN32,02013,55500037
野村中國機會基金,前收累積,美元,●,●,●,●,●,●,●,●,●,●,●,●,●,●
野村中國機會基金,前收累積,人民幣,●,●,●,●,●,●,●,●,●,●,●,●,●,●
野村巴西基金,前收累積,新臺幣,10370029,CA38,7030,5827,X,2428,10040038,V,●,K38,5581,IN37,02014,55500039
野村印度潛力基金,前收累積,新臺幣,10370033,CA46,7033,5830,X,2432,10040041,V,●,K41,5582,IN40,02024,55500041
野村亞太複合非投資等級債券基金,前收累積,新臺幣,10370037,CA47,7035,5832,●,2434,10040043,V,●,K43,5584,◎IN42,02015,55500043
野村亞太複合非投資等級債券基金,前收累積,美元,●,C129,7I15,5857,●,●,●,●,●,CKA,●,●,02039,65500026
野村亞太複合非投資等級債券基金,前收累積,人民幣,10370045,C101,7I05,5837,●,5505,10040054,●,●,286,4105,◎D205,02041,65500005
野村亞太複合非投資等級債券基金,前收月配,新臺幣,10370038,CA48,7036,5833,●,2435,10040044,V,●,K44,5585,IN43,02016,55500082
野村亞太複合非投資等級債券基金,前收月配,美元,●,C130,7I16,5858,●,●,●,●,●,CKB,●,●,02040,65500027
野村亞太複合非投資等級債券基金,前收月配,人民幣,10370046,C102,7I06,5838,●,5506,10040055,●,●,287,4106,D206,02042,65500006
野村亞太複合非投資等級債券基金,後收累積,新臺幣,●,CB05,8701,●,●,●,●,●,●,C0O,90A3,◎I711,53003,●
野村亞太複合非投資等級債券基金,後收月配,新臺幣,●,CB06,8702,●,●,●,●,●,●,C1O,90A4,◎I712,53004,●
野村亞太複合非投資等級債券基金,後收月配,美元,●,C205,7G01,●,●,●,●,●,●,CP0,41A3,◎J714,53005,●
野村亞太複合非投資等級債券基金,後收月配,人民幣,●,C206,7G02,●,●,●,●,●,●,CQ0,41A4,◎J715,53006,●
野村環球非投資等級債券基金,前收累積,新臺幣,10370039,CA50,7037,5834,●,●,10040047,V,●,K46,5587,IN45,02017,55500045
野村環球非投資等級債券基金,前收累積,美元,●,C103,7I01,●,●,5501,10040049,●,●,260,4101,◎D201,●,65500001
野村環球非投資等級債券基金,前收累積,人民幣,10370050,C105,7I03,●,●,5503,10040051,●,●,284,4103,◎D203,●,65500003
野村環球非投資等級債券基金,前收月配,新臺幣,10370040,CA51,7038,5835,●,2437,10040048,V,●,K47,5588,IN46,02018,55500046
野村環球非投資等級債券基金,前收月配,美元,●,C104,7I02,●,●,5502,10040050,●,●,261,4102,D202,●,65500002
野村環球非投資等級債券基金,前收月配,人民幣,10370044,C106,7I04,5836,●,5504,10040052,●,●,285,4104,D204,●,65500004
野村動態配置多重資產基金,前收累積,新臺幣,10370051,CA53,●,5865,●,2440,10040057,V,●,377,5590,IN47,02033,55500048
野村動態配置多重資產基金,前收累積,美元,10370053,C109,●,5867,●,5513,●,●,●,379,4109,D207,02035,65500009
野村動態配置多重資產基金,前收累積,人民幣,10370055,C119,●,5869,●,●,●,●,●,381,4111,◎D209,02037,65500013
野村動態配置多重資產基金,前收累積,澳幣,●,C113,●,●,●,●,●,●,●,383,4113,◎D211,●,65500011
野村動態配置多重資產基金,前收累積,南非幣,10370071,C115,●,●,●,5514,●,●,●,385,4115,●,●,65500015
野村動態配置多重資產基金,前收月配,新臺幣,10370052,CA54,●,5866,●,2439,10040058,V,●,378,5591,IN48,02034,55500049
野村動態配置多重資產基金,前收月配,美元,10370054,C110,●,5868,●,5509,●,●,●,380,4110,◎D208,02036,65500010
野村動態配置多重資產基金,前收月配,人民幣,10370056,C112,●,5870,●,5512,10040059,●,●,382,4112,D210,02038,65500014
野村動態配置多重資產基金,前收月配,澳幣,●,C114,●,●,●,5510,●,●,●,384,4114,D212,●,65500012
野村動態配置多重資產基金,前收月配,南非幣,10370072,C116,●,●,●,5511,●,●,●,386,4116,●,●,65500016
野村美利堅非投資等級債券基金,前收累積,新臺幣,●,CA71,X,5847,●,2444,10040063,V,●,●,5592,◎IN65,02026,55500050
野村美利堅非投資等級債券基金,前收累積,美元,●,●,X,●,●,●,●,●,●,●,●,◎D247,●,●
野村美利堅非投資等級債券基金,前收月配,新臺幣,●,CA72,X,5848,●,2445,10040064,V,●,●,5593,IN66,02027,55500051
野村美利堅非投資等級債券基金,前收月配,美元,●,C127,X,5849,●,5519,●,●,●,●,4122,◎D248,●,65500017
野村美利堅非投資等級債券基金,前收月配,人民幣,●,C128,X,5850,●,5520,10040065,●,●,●,4123,◎D249,●,65500018
野村美利堅非投資等級債券基金,後收累積,新臺幣,●,●,X,●,●,C303,●,●,●,●,90AB,I715,53007,●
